account,opportunity_id,sales_agent,deal_stage,product,close_date,close_value,created_on
Green-Plus,WHRDPR4H,Darcel Schlecht,Won,GTXBasic,2017-10-31,875.0,2017-10-19
Massive Dynamic,OFDSSMLB,Versie Hillebrand,In_Progress,GTXPlusPro,,,2017-12-28
Mathtouch,XUZAL73D,James Ascencio,Won,GTXPlusPro,2017-06-06,4112.0,2017-02-19
,T5O3KQ3S,Lajuana Vencill,In_Progress,GTXPlusBasic,,,2017-08-31
,V34SNG4P,Donn Cantrell,In_Progress,GTXBasic,,,2017-10-04
,DNTUK4O1,Corliss Cosme,In_Progress,GTXBasic,,,2017-05-21
Inity,DK25SX01,Darcel Schlecht,Lost,GTXPlusBasic,2017-12-31,0.0,2017-10-23
,9MBPV1Y6,Donn Cantrell,In_Progress,MGRPFS,,,2017-07-12
,LWZPACKS,James Ascencio,Lost,GTXPro,2017-07-29,0.0,2017-07-22
,77VRR78O,Donn Cantrell,Lost,GTXBasic,2017-09-06,0.0,2017-06-21
Olivia Pope & Associates,E9JHZR7J,Niesha Huffines,Won,GTXBasic,2017-12-16,390.0,2017-10-27
,RBKE7AY8,Corliss Cosme,Lost,GTXPro,2017-06-18,0.0,2017-03-29
,MFTVUBTC,Rosalina Dieter,In_Progress,MGRPFS,,,2017-04-13
,T7FRF6KC,Reed Clapper,In_Progress,GTXPlusPro,,,2017-07-28
Silis,EHSX1H0X,Vicki Laflamme,Won,MGRPFU,2017-07-09,2843.0,2017-05-18
Dontechi,9L5HPLM6,Niesha Huffines,Won,GTXBasic,2017-10-02,688.0,2017-06-22
,YY6XGXQY,Cassey Cress,In_Progress,GTXPro,,,2017-04-05
Sonron,OL2RFQCM,Rosalina Dieter,Won,GTXBasic,2017-08-16,510.0,2017-06-20
Umbrella Corporation,AZF4JUJH,Kami Bicknell,Won,MGRPFS,2017-10-24,66.0,2017-08-16
Lexiqvolax,XW0DSISO,Anna Snelling,Won,GTXPro,2017-03-31,6017.0,2017-01-25
Scotfind,377G0K33,Lajuana Vencill,Lost,GTXBasic,2017-10-25,0.0,2017-10-23
,Y131Y9KM,Moses Frase,In_Progress,GTXBasic,,,2017-03-10
,FYQMW11V,Markita Hansen,Lost,MGRPFU,2017-12-26,0.0,2017-10-17
,CWOE22DK,Anna Snelling,In_Progress,MGRPFU,,,2017-12-06
Betasoloin,IF0LPAQA,Cassey Cress,Won,GTXPro,2017-04-24,4604.0,2017-04-09
Genco Pura Olive Oil Company,83UP1720,Corliss Cosme,Lost,GTXPlusBasic,2017-09-06,0.0,2017-06-15
,NEJZ68R1,Lajuana Vencill,Lost,GTXBasic,2017-07-07,0.0,2017-07-02
Stanredtax,AIET8EN6,Cassey Cress,Won,GTXPlusBasic,2017-09-06,1147.0,2017-06-17
Gogozoom,S3ZKFZ86,Kary Hendrixson,Won,GTXPlusPro,2017-09-11,4897.0,2017-07-26
Plusstrip,O9B37HZG,Kary Hendrixson,Won,GTXPro,2017-07-14,7570.0,2017-04-09
,FOSIPD0U,Violet Mclelland,In_Progress,GTXBasic,,,2017-09-17
,LPXO98OT,Vicki Laflamme,Lost,MGRPFU,2017-09-09,0.0,2017-06-30
,ZQLLEUES,James Ascencio,Lost,MGRPFS,2017-04-06,0.0,2017-03-24
Olivia Pope & Associates,Z1L5OUDD,Darcel Schlecht,Won,GTXPlusPro,2017-09-29,9780.0,2017-09-17
Newex,NLKOGB9I,Elease Gluck,Won,MGRPFS,2017-12-25,80.0,2017-12-07
Donware,10UM3276,Anna Snelling,In_Progress,MGRPFS,,,2017-04-30
,OWOE6LQ0,Darcel Schlecht,Lost,GTXPro,2017-12-07,0.0,2017-11-17
,JYYU4CDI,Corliss Cosme,In_Progress,GTXBasic,,,2017-06-25
,6RNOFZRB,Moses Frase,In_Progress,GTXBasic,,,2017-10-21
,PEB3TNL2,James Ascencio,Lost,GTXPlusBasic,2017-08-23,0.0,2017-07-21
,Y69FIIR8,Boris Faz,In_Progress,GTXPlusPro,,,2017-06-01
Hooli,7UFNZL5X,Cassey Cress,Won,GTXPlusBasic,2017-07-22,1023.0,2017-05-14
dambase,007TC4E7,Rosalina Dieter,Won,GTXPlusPro,2017-04-22,5889.0,2017-01-17
Mathtouch,7EE64AJR,Maureen Marcano,Won,GTXPlusBasic,2017-10-16,1494.0,2017-08-27
Genco Pura Olive Oil Company,58EUQJ6Q,Cassey Cress,Won,MGRPFU,2017-12-05,2561.0,2017-08-08
,L25IQX48,Elease Gluck,In_Progress,MGRPFS,,,2017-10-29
Treequote,C6Z6O82S,Vicki Laflamme,Won,MGRPFU,2017-06-08,4001.0,2017-03-12
,OZDFPHEM,Markita Hansen,In_Progress,GTXPlusBasic,,,2017-11-22
Globex Corporation,NFNYO1WJ,Cassey Cress,Won,GTXBasic,2017-09-11,715.0,2017-08-07
Cheers,BQ91O7T3,Kami Bicknell,Won,GTXBasic,2017-07-03,618.0,2017-05-13
,E33JLS8C,Markita Hansen,In_Progress,GTXPlusBasic,,,2017-11-12
,BPA23WZK,Reed Clapper,In_Progress,GTXBasic,,,2017-12-03
Funholding,JSIYRJ1W,Garret Kinder,Lost,GTXPro,2017-05-04,0.0,2017-02-06
Ollivander's Wand Shop,Z4K4HV4R,Moses Frase,Won,GTXPlusBasic,2017-07-04,1054.0,2017-05-14
dambase,VC7M2RQU,Zane Levy,Won,GTXPlusPro,2017-11-30,5798.0,2017-09-22
Cancity,XWMY365L,Vicki Laflamme,Won,MGRPFS,2017-12-13,66.0,2017-09-23
Wayne Enterprises,VPD3HR87,Kary Hendrixson,Won,GTXPlusBasic,2017-08-30,1210.0,2017-06-25
,JVL7IGKX,Lajuana Vencill,In_Progress,MGRPFU,,,2017-10-23
,HUP03NNU,Kami Bicknell,In_Progress,GTXBasic,,,2017-07-21
Stark Industries,MTEPBRDZ,Markita Hansen,Won,MGRPFS,2017-11-01,62.0,2017-10-26
Krusty Krab,9MBS9UX2,Hayden Neloms,Won,MGRPFU,2017-09-30,3871.0,2017-07-17
Doncon,RVTAL02P,Kami Bicknell,Won,GTXBasic,2017-12-07,713.0,2017-11-26
,C9SIW0SB,Corliss Cosme,In_Progress,GTXPlusBasic,,,2017-04-29
Initech,4E73L1M3,Anna Snelling,Won,GTXBasic,2017-09-12,514.0,2017-08-15
J-Texon,DS7PCY00,Cassey Cress,Won,GTXPlusBasic,2017-08-29,1055.0,2017-06-14
Bluth Company,NASE5KTW,Hayden Neloms,Won,MGRPFS,2017-09-10,44.0,2017-08-29
Faxquote,11UREGQ7,Jonathan Berthelot,Won,GTXPlusBasic,2017-10-28,1640.0,2017-09-23
Wayne Enterprises,3FAP2Q65,Vicki Laflamme,Won,GTXBasic,2017-06-16,751.0,2017-03-14
Wonka Industries,ND7TY5ZE,Lajuana Vencill,In_Progress,GTXBasic,,,2017-12-23
Bluth Company,NY8FA0M3,Hayden Neloms,Lost,MGRPFU,2017-10-21,0.0,2017-08-02
,XIFT5PBL,Hayden Neloms,In_Progress,GTXPlusBasic,,,2017-12-07
,Z0HAIA9H,Kary Hendrixson,In_Progress,GTXPlusPro,,,2017-08-15
Scotfind,J2QBYW5R,Niesha Huffines,Won,GTXPlusBasic,2017-12-17,1273.0,2017-09-25
,780DW0FC,Kami Bicknell,Lost,GTXPlusBasic,2017-03-12,0.0,2017-01-30
,7NQPFAZV,Darcel Schlecht,In_Progress,GTXPlusBasic,,,2017-12-02
Cheers,LXTS18HY,Vicki Laflamme,Won,MGRPFU,2017-10-10,4586.0,2017-10-04
Zoomit,XB2UF6O2,Lajuana Vencill,Lost,MGRPFS,2017-08-24,0.0,2017-06-24
,P68661EJ,Lajuana Vencill,In_Progress,GTXPlusBasic,,,2017-09-18
,G5M523SS,Wilburn Farren,In_Progress,GTXPlusBasic,,,2017-12-23
,ZDLBAKBX,Jonathan Berthelot,In_Progress,GTXBasic,,,2017-12-21
Labdrill,WA0B8VK9,Jonathan Berthelot,Won,GTXBasic,2017-10-29,663.0,2017-10-11
,TOQ4CC49,Boris Faz,In_Progress,GTXPlusPro,,,2017-06-02
,NE99W360,Darcel Schlecht,In_Progress,GTXPlusPro,,,2017-08-19
Opentech,7M3759MG,Rosie Papadopoulos,Won,GTXPlusBasic,2017-09-17,785.0,2017-08-05
,FSWFCRH7,Markita Hansen,In_Progress,GTXBasic,,,2017-08-16
,1UEHC3TA,Vicki Laflamme,In_Progress,GTXPro,,,2017-12-11
,R7VQMT8U,Boris Faz,Lost,GTXPlusPro,2017-08-03,0.0,2017-07-25
,36FN9GE8,Maureen Marcano,In_Progress,GTXBasic,,,2017-05-24
,YG10TKRZ,Cassey Cress,Lost,GTXBasic,2017-12-26,0.0,2017-12-25
Scotfind,FE908OAI,Anna Snelling,Lost,MGRPFU,2017-08-13,0.0,2017-08-05
Streethex,9D9U5ZIR,Lajuana Vencill,Lost,MGRPFU,2017-07-27,0.0,2017-05-22
Ollivander's Wand Shop,SPR1ZGYU,Cecily Lampkin,Won,GTXBasic,2017-09-01,527.0,2017-08-02
Condax,NJ6TVWPJ,Elease Gluck,Won,MGRPFS,2017-09-15,63.0,2017-08-07
,XPO0GEB9,Vicki Laflamme,In_Progress,MGRPFS,,,2017-11-03
,V227SJZL,Daniell Hammack,In_Progress,MGRPFS,,,2017-12-17
,9T4PDJLJ,Darcel Schlecht,In_Progress,GTXBasic,,,2017-02-18
Soylent Corp,K133GTNI,Gladys Colclough,Won,MGRPFS,2017-06-11,50.0,2017-03-29
Globex Corporation,M29A8C9K,Corliss Cosme,Lost,GTXPlusBasic,2017-12-01,0.0,2017-10-06
,83HEPMH7,Donn Cantrell,In_Progress,GTXPlusPro,,,2017-12-16
,5Q7PLXR3,Niesha Huffines,In_Progress,GTXPlusBasic,,,2017-12-06
Green-Plus,L3BMFOAZ,Anna Snelling,Won,GTXPlusPro,2017-06-28,3811.0,2017-06-19
,SDANPPWD,Wilburn Farren,Lost,GTXBasic,2017-09-19,0.0,2017-08-04
,M957WE1J,Violet Mclelland,In_Progress,MGRPFS,,,2017-12-07
Donquadtech,CWPMM1G6,Vicki Laflamme,Won,MGRPFU,2017-06-22,2979.0,2017-03-14
Wayne Enterprises,2CFS9GLC,Kary Hendrixson,Won,GTXPlusBasic,2017-05-12,988.0,2017-05-02
Silis,EHRPHOFV,Kary Hendrixson,Won,GTXBasic,2017-09-04,707.0,2017-07-31
,B6G6BDCG,Gladys Colclough,Lost,MGRPFS,2017-12-12,0.0,2017-10-06
Gekko & Co,K1DFBO5B,Donn Cantrell,Won,MGRPFU,2017-12-02,4850.0,2017-11-19
,80RZ9HAR,Darcel Schlecht,In_Progress,GTXPro,,,2017-04-02
Stanredtax,138C064N,Reed Clapper,Won,GTXPlusBasic,2017-07-27,1268.0,2017-05-13
Opentech,8R9RUJ72,Cassey Cress,Won,GTXPlusPro,2017-11-22,6008.0,2017-10-01
Kinnamplus,TRN9B8S9,Moses Frase,Won,GTXBasic,2017-06-20,467.0,2017-06-19
Kinnamplus,GCNZ7C5H,Moses Frase,Won,GTXPlusBasic,2017-07-01,967.0,2017-06-18
,TIPP1KXN,Moses Frase,In_Progress,MGRPFU,,,2017-06-16
Dontechi,ZWSHCZO3,Anna Snelling,Won,GTXPlusBasic,2017-12-18,1264.0,2017-11-30
Xx-zobam,QWIEDKT4,Daniell Hammack,In_Progress,GTXBasic,,,2017-12-04
Newex,EWBCNH9J,Markita Hansen,Won,MGRPFS,2017-08-14,63.0,2017-05-22
,8VAFIHOG,Darcel Schlecht,In_Progress,MGRPFS,,,2017-11-02
Genco Pura Olive Oil Company,4I0APIEA,Reed Clapper,Won,GTXPlusBasic,2017-05-18,1822.0,2017-03-20
,VKXRGJ6C,Darcel Schlecht,In_Progress,GTXPro,,,2017-12-15
Silis,1VW7SXO7,Jonathan Berthelot,Won,GTXBasic,2017-06-14,567.0,2017-04-05
Labdrill,JEFB24SP,Darcel Schlecht,Won,GTXBasic,2017-08-11,532.0,2017-07-24
Konmatfix,HH84KT5U,Corliss Cosme,Lost,GTXPlusPro,2017-04-10,0.0,2017-02-11
Conecom,9UXVO2DF,Rosie Papadopoulos,Won,GTXBasic,2017-05-09,693.0,2017-05-02
Zathunicon,CUSAS84K,Maureen Marcano,Won,GTXPlusPro,2017-06-07,7100.0,2017-03-02
,IJXVIORO,Zane Levy,Lost,GTXPlusBasic,2017-12-20,0.0,2017-10-20
,RK5ALXJB,Moses Frase,In_Progress,GTXPlusBasic,,,2016-12-29
Scotfind,WCP1FZLS,Lajuana Vencill,Won,GTXPro,2017-12-28,6953.0,2017-12-18
,0HB5EN7G,Vicki Laflamme,In_Progress,MGRPFU,,,2017-12-30
Konmatfix,JX7GBHEN,Daniell Hammack,Won,GTXBasic,2017-06-12,673.0,2017-05-11
Golddex,GNG8XWP9,Versie Hillebrand,Won,GTXBasic,2017-05-18,646.0,2017-04-05
Genco Pura Olive Oil Company,G32XZC2T,Reed Clapper,Won,GTXBasic,2017-09-02,738.0,2017-08-26
Zathunicon,8QANEA89,Kami Bicknell,Won,GTXPlusBasic,2017-06-07,1053.0,2017-05-27
Sumace,C6ZU0Q91,Versie Hillebrand,Won,MGRPFU,2017-10-03,3565.0,2017-09-28
,55813JPU,James Ascencio,Lost,MGRPFS,2017-07-18,0.0,2017-05-27
,3C9DTYTW,Anna Snelling,In_Progress,GTXBasic,,,2017-05-03
Mathtouch,Q64TB3BW,Markita Hansen,Won,GTXPlusPro,2017-03-28,6225.0,2017-01-21
Kinnamplus,CSK6H69Z,Darcel Schlecht,Won,GTXBasic,2017-08-29,741.0,2017-06-23
Finhigh,DRW98TGV,Jonathan Berthelot,Lost,MGRPFS,2017-10-08,0.0,2017-07-28
Duff Beer,YZ2HXRGM,Gladys Colclough,Lost,GTXPro,2017-12-15,0.0,2017-10-21
Umbrella Corporation,SALUNDER,Zane Levy,Won,GTXPro,2017-10-05,7493.0,2017-09-25
,D2HABOCB,Darcel Schlecht,Lost,MGRPFS,2017-10-25,0.0,2017-09-11
,4PQOM4QE,Vicki Laflamme,Lost,GTXBasic,2017-11-15,0.0,2017-09-04
,XC4EN6RW,James Ascencio,In_Progress,GTXPlusPro,,,2017-12-03
Kan-code,QK80F25A,Darcel Schlecht,Won,GTXPro,2017-08-02,6122.0,2017-06-24
Domzoom,JFR9Y03U,Cecily Lampkin,Lost,GTXPlusBasic,2017-07-31,0.0,2017-07-30
Silis,51J5JG43,Zane Levy,Won,GTXPro,2017-12-08,6356.0,2017-09-05
,9NQD09CQ,Anna Snelling,In_Progress,MGRPFS,,,2017-09-09
Inity,3IDA6QN0,Gladys Colclough,Lost,GTXPlusPro,2017-09-20,0.0,2017-09-12
Isdom,2II2GKEW,Rosalina Dieter,Won,MGRPFU,2017-05-29,2859.0,2017-05-27
Funholding,94NMEBV0,Reed Clapper,Won,GTXBasic,2017-08-31,385.0,2017-06-04
,7BOMJ1RN,Boris Faz,In_Progress,GTXPro,,,2017-03-18
Sunnamplex,3OY5LBPK,Boris Faz,Won,GTXPlusBasic,2017-06-29,1322.0,2017-05-16
Doncon,893I07MF,Maureen Marcano,Lost,GTXPlusBasic,2017-05-27,0.0,2017-04-04
Umbrella Corporation,P3WE2QGG,Hayden Neloms,Won,GTXPlusBasic,2017-09-13,1033.0,2017-08-01
,3GQEOFOZ,Moses Frase,Lost,GTXBasic,2017-08-28,0.0,2017-07-26
,O2UGVHWW,Darcel Schlecht,Lost,GTXPro,2017-05-15,0.0,2017-03-15
Silis,TM205WJR,Niesha Huffines,Won,GTXBasic,2017-08-27,581.0,2017-05-26
Betasoloin,XOA3F5RJ,Vicki Laflamme,In_Progress,MGRPFS,,,2017-04-08
,L4M19GYK,Maureen Marcano,In_Progress,GTXPlusBasic,,,2017-08-30
,TC6A4TD4,Darcel Schlecht,In_Progress,GTXBasic,,,2017-09-18
,ZYMK8R9A,Violet Mclelland,In_Progress,GTXPlusBasic,,,2017-12-25
Olivia Pope & Associates,0JCCS2QI,Moses Frase,Won,GTXPlusPro,2017-10-03,7850.0,2017-08-24
Doncon,SB25F9W9,Elease Gluck,Lost,GTXPlusBasic,2017-10-24,0.0,2017-09-09
,CRPAF2WK,Zane Levy,Lost,GTXBasic,2017-07-15,0.0,2017-05-09
Plusstrip,BAH7M6OJ,James Ascencio,Won,GTXPlusPro,2017-06-13,6045.0,2017-03-12
Rangreen,Y5A56GSL,Vicki Laflamme,In_Progress,MGRPFU,,,2017-10-27
Plexzap,BDOR281M,Boris Faz,Won,GTXPro,2017-09-27,3197.0,2017-08-24
Acme Corporation,Z4C6UKWU,Daniell Hammack,Lost,GTXPro,2017-07-21,0.0,2017-05-26
,HZRKBENO,Donn Cantrell,Lost,GTXPlusBasic,2017-07-04,0.0,2017-04-06
Inity,1T5Z7AQ1,Moses Frase,Won,MGRPFU,2017-12-15,3994.0,2017-09-27
Finjob,GS6PYKKT,Darcel Schlecht,Won,GTXPro,2017-03-26,5298.0,2017-02-02
Dalttechnology,5HELK0OL,Hayden Neloms,Lost,GTXPlusPro,2017-09-04,0.0,2017-08-26
,TUBCT5AG,Versie Hillebrand,Lost,GTXPlusPro,2017-05-27,0.0,2017-03-02
Domzoom,SR949RP7,Moses Frase,Won,MGRPFU,2017-08-31,3556.0,2017-07-27
Kinnamplus,3WYBNM3N,Darcel Schlecht,Won,GTXBasic,2017-03-29,595.0,2017-01-25
Plusstrip,178FYKRK,Maureen Marcano,In_Progress,GTXBasic,,,2017-08-08
Mathtouch,AJ1RSCE4,Maureen Marcano,Won,GTXPlusPro,2017-07-06,7977.0,2017-06-28
,7MXH23MT,Markita Hansen,In_Progress,MGRPFU,,,2017-12-03
Ganjaflex,P10IF6FO,Darcel Schlecht,Won,GTXPro,2017-05-07,5493.0,2017-03-04
,YG4VUJK5,Moses Frase,Lost,GTXPlusBasic,2017-12-24,0.0,2017-10-21
,3HF89NQN,Lajuana Vencill,In_Progress,GTXPlusPro,,,2017-12-06
Singletechno,V9G8A9RJ,Niesha Huffines,Won,GTXBasic,2017-06-11,670.0,2017-05-30
,9BD3NLPH,Donn Cantrell,Lost,GTXPro,2017-09-06,0.0,2017-08-29
Bluth Company,UUGD7SAD,Elease Gluck,Lost,GTXBasic,2017-06-07,0.0,2017-04-09
Inity,WB2FPHOW,Darcel Schlecht,Won,GTXPlusBasic,2017-06-05,1500.0,2017-05-24
,1BGXP3O9,Violet Mclelland,Lost,MGRPFS,2017-03-20,0.0,2017-01-27
Genco Pura Olive Oil Company,94DGJ7GW,Violet Mclelland,Won,MGRPFS,2017-09-18,71.0,2017-06-23
Cyberdyne Systems,SX22YSBF,Darcel Schlecht,Won,GTXPlusPro,2017-12-06,6465.0,2017-08-17
,5BVUSDJ2,Anna Snelling,Lost,MGRPFU,2017-08-28,0.0,2017-08-07
Golddex,6YEB9T0P,Darcel Schlecht,Won,GTXPro,2017-08-02,6685.0,2017-06-05
,38FD5WP1,Elease Gluck,In_Progress,MGRPFS,,,2017-09-11
,424OAEQ6,Daniell Hammack,Lost,GTXPro,2017-12-13,0.0,2017-09-18
,2RS9ZR94,Donn Cantrell,Lost,GTXPro,2017-07-23,0.0,2017-07-11
Zumgoity,6JQR3L18,Corliss Cosme,Won,GTXBasic,2017-09-22,709.0,2017-07-27
,DG4RXVWS,Darcel Schlecht,In_Progress,GTXPro,,,2017-06-30
,PGFSE49T,Cecily Lampkin,In_Progress,GTXBasic,,,2017-06-04
Stanredtax,9V9LWMAQ,Donn Cantrell,Won,GTXPlusBasic,2017-08-24,1336.0,2017-07-17
,R0B17478,James Ascencio,Lost,GTXPro,2017-08-06,0.0,2017-07-25
Yearin,MW2AJKTT,Cassey Cress,Won,MGRPFU,2017-09-26,3766.0,2017-07-10
Newex,X3EKKTM6,Violet Mclelland,Won,GTXBasic,2017-09-18,567.0,2017-07-24
Silis,Q8U0NEUG,Darcel Schlecht,In_Progress,GTXPlusPro,,,2017-08-26
Blackzim,M5NP0VK8,Corliss Cosme,Won,MGRPFS,2017-08-23,67.0,2017-08-11
Silis,SUBFZA52,Darcel Schlecht,Won,GTXPro,2017-12-14,6161.0,2017-10-07
Bioplex,KE1525BE,Darcel Schlecht,Won,GTXPlusBasic,2017-09-15,1125.0,2017-07-15
,ZTZJ8DY9,Marty Freudenburg,Lost,GTXPlusBasic,2017-08-14,0.0,2017-08-01
,F558HLIL,Jonathan Berthelot,Lost,GTXBasic,2017-06-25,0.0,2017-04-14
